street_edge_id,osm_way_id,way_type
878,127270359,primary
879,127270360,primary
880,127270360,primary
881,127270361,primary
882,127270361,primary
883,127270362,primary
884,127270362,primary
885,127270363,primary
886,127270363,primary
887,127270363,primary
888,127270364,primary
889,127270364,primary
890,127270367,residential
891,127270367,residential
892,145223639,tertiary
893,145223640,tertiary
894,145223644,residential
895,145223646,tertiary
896,145223648,tertiary
933,146254744,tertiary
897,145223648,tertiary
898,145223648,tertiary
899,145223648,tertiary
900,145223648,tertiary
901,145224869,residential
902,145224870,residential
903,145224870,residential
904,145224871,residential
905,145224872,residential
906,145224872,residential
907,145224872,residential
908,145224873,residential
909,145224874,residential
910,145224874,residential
911,145224874,residential
912,145224875,residential
913,145224875,residential
914,145224875,residential
915,145224875,residential
916,145224875,residential
917,145224875,residential
918,145224875,residential
919,145224875,residential
920,145224876,residential
921,145224878,residential
922,145224879,residential
923,145224879,residential
924,145224882,residential
925,145224883,residential
926,145224883,residential
927,145224885,residential
928,145225058,residential
929,146254741,tertiary
930,146254741,tertiary
931,146254742,tertiary
932,146254743,tertiary
934,146254746,tertiary
935,146254749,tertiary
936,146254750,tertiary
937,146254752,tertiary
938,146254755,tertiary
939,146260335,tertiary
940,146260335,tertiary
941,146260337,tertiary
942,146260338,tertiary
943,146260340,tertiary
944,146260342,tertiary
945,146260346,tertiary
946,146260349,tertiary
947,146260350,tertiary
948,146260352,tertiary
949,146260356,tertiary
950,146260356,tertiary
951,146260356,tertiary
952,146260360,secondary
953,146260364,secondary
954,146260364,secondary
955,146260364,secondary
956,146260371,secondary
957,146260371,secondary
958,146260371,secondary
959,146260379,residential
960,146269300,residential
961,146269300,residential
962,146269300,residential
963,146269300,residential
964,146269300,residential
965,146269300,residential
966,146269300,residential
967,146269300,residential
968,146269302,tertiary
969,146269305,residential
970,146269309,residential
971,146269314,residential
972,146269314,residential
973,146269318,residential
974,146269318,residential
975,146269320,primary
976,146269346,residential
977,146269346,residential
978,146269346,residential
979,146269346,residential
980,146271872,residential
981,146275556,tertiary
982,146275556,tertiary
983,146275556,tertiary
984,146275556,tertiary
985,146275556,tertiary
986,146275556,tertiary
987,146275558,tertiary
988,146275558,tertiary
989,146275562,residential
990,146275562,residential
991,146275562,residential
992,146275563,primary
993,146299213,residential
994,146299213,residential
995,146299221,residential
996,146299221,residential
997,146299221,residential
998,146299222,residential
999,146301539,residential
1000,146301540,residential
1001,146301540,residential
1002,146301540,residential
1003,146301543,residential
1004,146304974,residential
1005,146304974,residential
1006,146304975,residential
1007,146304976,tertiary
1008,146304976,tertiary
1009,146304976,tertiary
1010,146388123,tertiary
1011,146388123,tertiary
1012,146388123,tertiary
1013,146388123,tertiary
1014,146388132,residential
1015,146388137,tertiary
1058,146401395,residential
1016,146388137,tertiary
1017,146388137,tertiary
1018,146388137,tertiary
1019,146388137,tertiary
1020,146388137,tertiary
1021,146388137,tertiary
1022,146389549,residential
1023,146389549,residential
1024,146389549,residential
1025,146389550,residential
1026,146389553,residential
1027,146389554,residential
1028,146393102,tertiary
1029,146393107,tertiary
1030,146393110,tertiary
1031,146393113,tertiary
1032,146393115,residential
1033,146393118,residential
1034,146393123,secondary
1035,146393126,secondary
1036,146393127,secondary
1037,146393131,tertiary
1038,146393135,tertiary
1039,146393135,tertiary
1040,146393135,tertiary
1041,146393140,tertiary
1042,146393140,tertiary
1043,146393143,residential
1044,146396283,residential
1045,146398060,residential
1046,146398862,primary
1047,146398863,primary
1048,146398863,primary
1049,146398864,primary
1050,146400488,primary
1051,146400489,tertiary
1052,146400489,tertiary
1053,146400489,tertiary
1054,146400490,tertiary
1055,146401395,residential
1056,146401395,residential
1057,146401395,residential
1059,146416654,tertiary
1060,146416657,primary
1061,146416658,primary
1062,146416658,primary
1063,146416658,primary
1064,168949371,primary
1065,169024736,primary
1066,169024737,primary
1067,169033859,residential
1068,169033859,residential
1069,169033859,residential
1070,169033860,residential
1071,169033861,residential
1072,169033861,residential
1073,169033861,residential
1074,169033861,residential
1075,169033872,residential
1076,169044546,residential
1077,169379507,primary
1078,169379507,primary
1079,169379507,primary
1080,169383862,residential
1081,169383865,residential
1082,169383866,residential
1083,169383866,residential
1084,169383866,residential
1085,169383866,residential
1086,169383866,residential
1087,169383866,residential
1088,169383866,residential
1089,169383866,residential
1090,169383866,residential
1091,169383867,residential
1092,169383868,residential
1093,169383869,residential
1094,169383870,residential
1095,169383870,residential
1096,169387504,secondary
1097,169387507,tertiary
1098,169387507,tertiary
1099,169387507,tertiary
1100,169387507,tertiary
1101,169387507,tertiary
1102,169389830,residential
1103,169389830,residential
1104,169485974,primary
1105,169485974,primary
1106,169485974,primary
1107,169485974,primary
1108,169485974,primary
1109,169485974,primary
1110,169485974,primary
1111,169485974,primary
1112,169485974,primary
1113,169485974,primary
1114,169485975,primary
1115,169485981,primary
1116,169499972,residential
1117,169503476,residential
1118,169503494,residential
1119,169506110,residential
1120,169506111,tertiary
1121,169506111,tertiary
1122,170005714,tertiary
1123,170005714,tertiary
1124,170005714,tertiary
1125,170005714,tertiary
1126,170009223,tertiary
1127,170009223,tertiary
1128,170009223,tertiary
1129,170009223,tertiary
1130,170009223,tertiary
1131,170009223,tertiary
1132,170009223,tertiary
1133,170009223,tertiary
1134,170014485,residential
1135,170014486,residential
1136,170014486,residential
1137,170014486,residential
1138,170014486,residential
1139,170014486,residential
1140,170014486,residential
1141,170014486,residential
1142,170014486,residential
1143,170014486,residential
1144,170014486,residential
1191,442636566,residential
1145,170014487,residential
1146,170014488,residential
1147,170014489,residential
1148,170014490,residential
1149,170014491,residential
1150,170014492,residential
1151,170019582,residential
1152,170019582,residential
1153,170023723,tertiary
1154,170023723,tertiary
1155,170023724,tertiary
1156,170023724,tertiary
1157,170023724,tertiary
1158,170026976,residential
1159,170026978,residential
1160,170026979,residential
1161,243612708,residential
1162,243612712,residential
1163,243612713,residential
1164,243705828,residential
1165,249120887,tertiary
1166,249120887,tertiary
1167,249120887,tertiary
1168,262777272,residential
1169,285599594,primary
1170,285599594,primary
1171,285599594,primary
1172,285599594,primary
1173,285599597,primary
1174,285599597,primary
1175,285599597,primary
1176,285599673,primary
1177,373835026,primary
1178,373835026,primary
1179,373835026,primary
1180,373835026,primary
1181,373835028,primary
1182,373835031,residential
1183,373835031,residential
1184,373835032,primary
1185,373835032,primary
1186,373835032,primary
1187,373835032,primary
1188,373835032,primary
1189,398558680,residential
1190,398558680,residential
1192,442636575,primary
1193,442636575,primary
1194,442636575,primary
1195,442636575,primary
1196,442636575,primary
1197,442636575,primary
1198,442636575,primary
1199,442636575,primary
1200,442636575,primary
1201,442636575,primary
1202,442636575,primary
1203,442636576,residential
1204,442636576,residential
1205,442636578,primary
1206,442636578,primary
1207,448900737,tertiary
1208,448900737,tertiary
1209,448900737,tertiary
1210,454423145,residential
1211,454423146,residential
1212,454787155,tertiary
1213,454787155,tertiary
1214,454787155,tertiary
1215,454787156,residential
1216,454787156,residential
1217,454787157,residential
1218,454787158,residential
1219,454787158,residential
1220,454787159,residential
1221,454787159,residential
1222,454787159,residential
1223,454787160,tertiary
1224,454787160,tertiary
1225,454787160,tertiary
1226,454787160,tertiary
1227,454787161,tertiary
1228,454787162,residential
1229,454787163,residential
1230,454787172,residential
1231,454787173,residential
1232,454787174,primary
1233,454787175,residential
1234,454787175,residential
1235,454787176,tertiary
1236,454787176,tertiary
1237,454787176,tertiary
1238,454787176,tertiary
1239,454787176,tertiary
1240,454787176,tertiary
1241,454787177,residential
1242,472390249,primary
1243,472390249,primary
1244,472390250,primary
1245,472390251,residential
1246,472390252,residential
1247,474929705,residential
1248,474930021,residential
1249,474930022,residential
1250,474930023,residential
1251,474930024,residential
1252,474930243,residential
1253,474931017,tertiary
1254,474931018,tertiary
1255,474931082,residential
1256,474931082,residential
1257,474931084,residential
1258,474931086,residential
1259,474931086,residential
1260,474931086,residential
1261,474931088,residential
1262,474931088,residential
1263,474931088,residential
1264,474931088,residential
1265,474931232,tertiary
1266,474931233,tertiary
1267,474931838,residential
1268,474931839,residential
1269,474931840,residential
1270,474933939,tertiary
1271,474933940,tertiary
1272,474933941,residential
1273,474933942,residential
1274,474933943,residential
1275,474934684,residential
1276,474934684,residential
1277,474934685,residential
1278,474934685,residential
1279,474934686,residential
1280,474934687,residential
1281,474934688,tertiary
1282,474934688,tertiary
1283,474937522,residential
1284,474937523,residential
1285,474937523,residential
1286,474937523,residential
1287,474938708,residential
1288,474938709,residential
1289,474938710,residential
1290,474938711,residential
1291,474938712,residential
1292,474938713,residential
1293,474938714,residential
1294,474938715,residential
1295,474938715,residential
1296,474938715,residential
1297,474938715,residential
1298,474939838,residential
1299,474939841,residential
1300,474939845,residential
1301,474939848,residential
1302,474939851,residential
1303,474939854,residential
1304,474939855,residential
1305,474939856,residential
1306,474939856,residential
1307,474939857,residential
1308,474939858,residential
1309,474939859,residential
1310,474939860,residential
1311,474939860,residential
1312,474939861,residential
1313,474939861,residential
1314,474940814,residential
1315,474940815,residential
1316,474940816,residential
1317,475132325,residential
1318,475132325,residential
1319,475132326,residential
1320,475132738,tertiary
1321,475132738,tertiary
1322,475132744,tertiary
1323,475132744,tertiary
1324,475132744,tertiary
1325,475132744,tertiary
1326,475133254,residential
1327,475133255,residential
1328,475133255,residential
1329,475133480,tertiary
1330,475133480,tertiary
1331,475133480,tertiary
1332,475133481,tertiary
1333,475138745,residential
1334,475138749,residential
1335,475138814,residential
1336,475140342,residential
1337,475140343,residential
1338,475140344,residential
1339,475141085,residential
1340,475141086,residential
1341,475141336,tertiary
1342,475141339,residential
1343,475142740,residential
1344,475142741,residential
1345,475142741,residential
1346,475150431,residential
1347,475150432,residential
1348,475152803,residential
1349,475152803,residential
1350,475153643,residential
1351,475153643,residential
1352,475163709,residential
1353,475163709,residential
1354,475163709,residential
1355,475163710,residential
1356,475163710,residential
1357,475163710,residential
1358,475163710,residential
1359,475163710,residential
1360,475163711,residential
1361,475164504,residential
1362,475164505,residential
1363,475164506,residential
1364,475164557,residential
1365,475164557,residential
1366,475164558,residential
1367,475164559,residential
1368,475164559,residential
1369,475164704,residential
1370,475165072,residential
1371,475165072,residential
1372,475165072,residential
1373,475165072,residential
1374,475165072,residential
1375,475165072,residential
1376,475168557,residential
1377,475170225,tertiary
1378,475171055,residential
1379,475171055,residential
1380,475171056,residential
1381,475171056,residential
1382,475171056,residential
1383,475171056,residential
1384,475172365,residential
1385,475174454,residential
1386,475174455,residential
1387,475174455,residential
1388,475174456,residential
1389,475174457,primary
1390,475174689,residential
1391,475174689,residential
1392,475174689,residential
1393,475174689,residential
1394,475174690,residential
1395,475174690,residential
1396,475175108,residential
1397,475175108,residential
1398,475175109,residential
1399,475175325,residential
1400,475175326,residential
1401,475175327,residential
1402,475176664,primary
1403,475176664,primary
1404,475176670,primary
1405,475176670,primary
1406,475177375,tertiary
1407,475177375,tertiary
1408,475177376,tertiary
1409,475177376,tertiary
1410,475177911,residential
1411,475177912,residential
1412,475177913,residential
1413,475177914,residential
1414,475178573,residential
1415,475180203,residential
1416,475180204,residential
1417,475180205,residential
1418,475180206,residential
1419,475180207,residential
1420,475180208,residential
1421,475180209,residential
1422,475180781,residential
1423,475180782,tertiary
1424,475180783,tertiary
1425,475180783,tertiary
1426,475180784,tertiary
1427,475187527,tertiary
1428,475187528,tertiary
1429,475187529,tertiary
1430,475333035,secondary
1431,475333036,secondary
1432,475333036,secondary
1433,475333036,secondary
1434,475333291,secondary
1435,475333292,secondary
1436,475334246,tertiary
1437,475335135,residential
1588,475407566,tertiary
1438,475335142,tertiary
1439,475335142,tertiary
1440,475335142,tertiary
1441,475335142,tertiary
1442,475335142,tertiary
1443,475335142,tertiary
1444,475335142,tertiary
1445,475335142,tertiary
1446,475335145,tertiary
1447,475335145,tertiary
1448,475335319,tertiary
1449,475335319,tertiary
1450,475337188,residential
1451,475337189,tertiary
1452,475337189,tertiary
1453,475337709,tertiary
1454,475337710,tertiary
1455,475337710,tertiary
1456,475338565,tertiary
1457,475338565,tertiary
1458,475338565,tertiary
1459,475345451,tertiary
1460,475348004,tertiary
1461,475348004,tertiary
1462,475348004,tertiary
1463,475348323,secondary
1464,475348323,secondary
1465,475350265,residential
1466,475350265,residential
1467,475350265,residential
1468,475366028,tertiary
1469,475366029,tertiary
1470,475366030,tertiary
1471,475366031,tertiary
1472,475370407,tertiary
1473,475370407,tertiary
1474,475370875,residential
1475,475370876,residential
1476,475370876,residential
1477,475370876,residential
1478,475370876,residential
1479,475378221,primary
1480,475379409,tertiary
1481,475379409,tertiary
1482,475379409,tertiary
1483,475379409,tertiary
1484,475379409,tertiary
1485,475379409,tertiary
1486,475379409,tertiary
1487,475379409,tertiary
1488,475379410,tertiary
1489,475379410,tertiary
1490,475379896,secondary
1491,475382129,residential
1492,475382131,residential
1493,475383589,tertiary
1494,475384149,residential
1495,475384149,residential
1496,475384150,residential
1497,475384151,residential
1498,475384151,residential
1499,475384152,residential
1500,475384153,residential
1501,475384153,residential
1502,475384154,residential
1503,475384154,residential
1504,475384154,residential
1505,475385572,tertiary
1506,475385572,tertiary
1507,475385572,tertiary
1508,475385572,tertiary
1509,475385573,tertiary
1510,475385573,tertiary
1511,475391183,tertiary
1512,475391184,tertiary
1513,475391184,tertiary
1514,475391184,tertiary
1515,475391184,tertiary
1516,475392783,residential
1517,475392784,residential
1518,475392784,residential
1519,475392785,residential
1520,475392785,residential
1521,475394412,residential
1522,475394412,residential
1523,475394489,residential
1524,475394489,residential
1525,475394491,residential
1526,475395526,residential
1527,475395526,residential
1528,475395818,residential
1529,475395818,residential
1530,475396178,residential
1531,475396179,residential
1532,475396179,residential
1533,475396372,primary
1534,475396372,primary
1535,475396372,primary
1536,475396373,primary
1537,475396373,primary
1538,475396689,tertiary
1539,475396689,tertiary
1540,475396689,tertiary
1541,475397600,residential
1542,475397600,residential
1543,475397601,residential
1544,475397602,residential
1545,475397602,residential
1546,475397603,residential
1547,475397603,residential
1548,475397603,residential
1549,475398672,residential
1550,475398673,residential
1551,475398673,residential
1552,475398674,residential
1553,475398674,residential
1554,475398674,residential
1555,475398674,residential
1556,475398674,residential
1557,475401136,residential
1558,475401138,residential
1559,475401141,residential
1560,475401144,residential
1561,475405235,residential
1562,475405236,residential
1563,475405236,residential
1564,475405237,residential
1565,475406248,residential
1566,475406249,tertiary
1567,475406249,tertiary
1568,475406249,tertiary
1569,475406249,tertiary
1570,475406249,tertiary
1571,475407240,residential
1572,475407240,residential
1573,475407241,residential
1574,475407560,tertiary
1575,475407560,tertiary
1576,475407561,tertiary
1577,475407562,tertiary
1578,475407562,tertiary
1579,475407562,tertiary
1580,475407562,tertiary
1581,475407563,tertiary
1582,475407563,tertiary
1583,475407564,tertiary
1584,475407564,tertiary
1585,475407565,tertiary
1586,475407565,tertiary
1587,475407565,tertiary
1589,475407566,tertiary
1590,475407566,tertiary
1591,475407566,tertiary
1592,475407566,tertiary
1593,475407566,tertiary
1594,475408143,primary
1595,475408143,primary
1596,475408144,primary
1597,475408145,primary
1598,475408145,primary
1599,475408145,primary
1600,475408145,primary
1601,475408145,primary
1602,475408145,primary
1603,475408146,primary
1604,475408146,primary
1605,475408377,primary
1606,475408377,primary
1607,475408378,primary
1608,475408379,primary
1609,475408379,primary
1610,475408380,primary
1611,475408381,primary
1612,475408382,primary
1613,475408989,primary
1614,475408990,primary
1615,475408990,primary
1616,475408990,primary
1617,475408990,primary
1618,475408991,primary
1619,475408991,primary
1620,475919366,residential
1621,475919366,residential
1622,475919366,residential
1623,475919366,residential
1624,475919368,residential
1625,475947873,residential
1626,480064865,residential
1627,480065738,tertiary
1628,480065738,tertiary
1629,480065738,tertiary
1630,480065738,tertiary
1631,480065738,tertiary
1632,520072096,primary
1633,520072096,primary
1634,520072096,primary
1635,520072096,primary
1636,520072096,primary
1637,520072096,primary
1638,520729044,tertiary
1639,520729044,tertiary
1640,520729044,tertiary
1641,520729044,tertiary
1642,520729044,tertiary
1643,520729044,tertiary
1644,520729044,tertiary
1645,551113408,tertiary
1646,621350505,primary
1647,621350505,primary
1648,621350505,primary
1649,5401113,residential
1650,5404307,primary
1651,621350505,primary
1652,621350505,primary
1653,621350505,primary
1654,621350505,primary
1655,621350505,primary
1656,475133480,tertiary
1657,475133480,tertiary
1658,442636575,primary
1659,442636566,residential
1660,442636575,primary
1661,5403280,residential
1662,5403569,tertiary
1663,5403569,tertiary
1664,5403569,tertiary
1665,5403569,tertiary
1666,5403569,tertiary
1667,5404773,residential
1668,5405161,tertiary
1669,5405228,residential
1670,5405570,residential
1671,146304976,tertiary
1672,170023724,tertiary
1673,170023724,tertiary
1674,170023724,tertiary
1675,474931018,tertiary
1676,474931086,residential
1677,474938715,residential
1678,475180782,tertiary
1679,5393965,primary
1680,475333036,secondary
1681,454423146,residential
1682,454423146,residential
1683,454423146,residential
1684,5405900,residential
1685,475379409,tertiary
1686,475379409,tertiary
1687,475379409,tertiary
1688,475379409,tertiary
1689,5404198,tertiary
1690,169024737,primary
1691,169024737,primary
